,Unnamed: 0,name,id,class,mass,fall,year,reclat,reclong,massL
2971,3039,Somervell County,23665,"Pallasite, PMG",11800.0,Found,1919,32.18333,-97.8,3.0
2972,3040,Somesbar,23666,H6,60.0,Found,1977,41.38333,-123.5,1.0
2973,3041,Soper,23669,"Iron, ungrouped",3700.0,Found,1938,34.03333,-95.58333,1.0
2974,3042,Souslovo,23673,L4,19300.0,Found,1997,55.4295,55.78727,3.0
2975,3043,South Bend,23675,"Pallasite, PMG",2500.0,Found,1893,41.65,-86.21667,1.0
2976,3044,South Byron,23676,"Iron, ungrouped",6000.0,Found,1915,43.03333,-78.03333,1.0
2977,3045,South Dahna,23677,"Iron, IAB complex",275000.0,Found,1957,22.56667,48.3,7.0
2978,3046,South Oman,23679,EH4/5,90.0,Found,1958,21.0,56.66667,1.0
2979,3047,South Plains,23680,L5,4763.0,Found,1971,34.26667,-101.25,1.0
2980,3048,Southampton,23682,Pallasite,3580.0,Found,2001,44.50642,-81.37217,1.0
2981,3049,Spade,23686,H6,8860.0,Found,2000,34.00111,-102.12833,1.0
2982,3050,Spearman,23687,"Iron, IIIAB",10400.0,Found,1934,36.25,-101.21667,3.0
2983,3051,Springer,23688,H5,8143.0,Found,1965,36.34611,-97.185,1.0
2984,3052,Springfield,23689,L6,3200.0,Found,1937,37.38333,-102.63333,1.0
2985,3053,Springfield (b),23690,L,229.3,Found,1937,37.48333,-102.67667,1.0
2986,3054,Springlake,23691,L6,17300.0,Found,1980,34.34444,-102.22361,3.0
2987,3055,Springwater,23692,"Pallasite, PMG-an",67600.0,Found,1931,52.0,-108.3,3.0
2988,3056,Spruce ,56165,L5,983.0,Found,2011,40.801,-114.701,1.0
2989,3057,Squaw Creek,23693,"Iron, IIAB",14500.0,Found,0,32.0,-98.0,3.0
2990,3058,Ssyromolotovo,23694,"Iron, IIIAB",217000.0,Found,1873,58.61667,98.93333,7.0
2991,3059,St. Ann,23079,H6,373.5,Found,1938,40.45,-100.75,1.0
2992,3060,St. Francis Bay,23084,L6,531.6,Found,1976,-25.06667,14.88333,1.0
2993,3061,St. Francois County,23085,"Iron, IC",3600.0,Found,1863,37.75,-90.5,1.0
2994,3062,St. Genevieve County,23086,"Iron, IIIF",244500.0,Found,1888,37.96667,-90.31667,7.0
2995,3063,St. Lawrence,23088,LL6,2600.0,Found,1965,31.73333,-101.505,1.0
2996,3064,St. Peter,23094,L5,6800.0,Found,1957,39.4,-100.03333,1.0
2997,3065,St. Vrain,23095,OC,45.5,Found,1971,34.31833,-103.47167,1.0
2998,3066,Starvation Flat,44800,L5,1250.0,Found,2002,36.7845,-114.94967,1.0
2999,3067,Starvation Lake,23714,LL3.9,12000.0,Found,1975,-30.46667,141.08333,3.0
3000,3068,Statesboro,23715,L5,2158.26,Found,2000,32.4375,-81.91667,1.0
3001,3069,Staunton,23716,"Iron, IIIE",43500.0,Found,1869,38.21667,-79.05,3.0
3002,3070,Ste. Croix,23098,"Iron, IIIAB",4.8,Found,1988,46.83667,6.49472,1.0
3003,3071,Steinbach,23722,"Iron, IVA-an",98000.0,Found,1724,50.5,12.5,3.0
3004,3072,Sterley,56575,"Pallasite, PMG",1724.8,Found,1950,34.21,-101.39,1.0
3005,3073,Sterling,23723,Pallasite,679.5,Found,1900,40.6,-103.18333,1.0
3006,3074,Stewart Hills ,23725,L6,140.3,Found,1991,-84.2,-86.0,1.0
3007,3075,Stewart Valley ,55530,H6,75.59999999999998,Found,2001,36.2058,-116.17042,1.0
3008,3076,Stockyard Creek,55551,H5,2700.0,Found,2008,-23.25556,116.90083,1.0
3009,3077,Stoneham,31330,H5,5000.0,Found,1960,40.63783,-103.69717,1.0
3010,3078,Stonington,23727,H5,2700.0,Found,1942,37.28333,-102.2,1.0
3011,3079,Stratton,23730,OC,121.0,Found,1964,39.22167,-102.59,1.0
3012,3080,Streaky Bay,23731,L4,909.0,Found,1989,-32.86667,134.28333,1.0
3013,3081,Study Butte,23734,H3-6,417.0,Found,1983,29.30167,-103.5,1.0
3014,3082,Stump Spring ,52752,LL6,13700.0,Found,2010,35.98728,-115.85828,3.0
3015,3083,Sublette,23735,L6,1300.0,Found,1952,37.5,-100.83333,1.0
3016,3084,Sueilila,45010,LL6,13266.0,Found,2005,24.63633,-14.71633,3.0
3017,3085,Sukhoj Liman,23739,H4/5,48000.0,Found,1987,46.4,30.8,3.0
3018,3086,Sulphur Springs Draw,23740,H5,1892.0,Found,1990,32.98333,-102.37833,1.0
3019,3087,Summerfield,23743,L5,6200.0,Found,1979,34.76667,-102.41667,1.0
3020,3088,Summit,23744,"Iron, IIAB",1000.0,Found,1890,34.2,-86.48333,1.0
3021,3089,Sunray,23746,H4,4300.0,Found,1985,36.0,-101.83333,1.0
3022,3090,Sunstone Knoll,23747,L6,15.6,Found,1985,39.16278,-112.70806,1.0
3023,3091,Superior Valley ,23748,H5,3.4,Found,2000,35.25448,-117.10972,1.0
3024,3092,Superstition Mountain,23759,H5,333.0,Found,2000,32.87083,-115.7825,1.0
3025,3093,Surprise Springs,23761,"Iron, IAB-sLL",1500.0,Found,1899,34.16667,-115.91667,1.0
3026,3094,Susuman,23762,"Iron, IIIAB",18900.0,Found,1957,62.72139,148.13028,3.0
3027,3095,Sutton,23763,H5,7600.0,Found,1964,40.6,-97.86667,1.0
3028,3096,Suwa,23764,Iron,203.0,Found,1915,36.03333,138.08333,1.0
