,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
9948,Taisetsuzan,Confirmed Eruption,VEI Unknown,-2800,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,43.664,142.854,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9949,Fujisan,Confirmed Eruption,VEI Unknown,-2800,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,35.361,138.728,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9950,"Fournaise, Piton de la",Confirmed Eruption,VEI Unknown,-2800,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-21.244,55.708,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9951,Taupo,Confirmed Eruption,3.0,-2800,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-38.82,176.0,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9952,Arenal,Confirmed Eruption,4.0,-2800,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,10.463,-84.703,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9953,Halla,Confirmed Eruption,VEI Unknown,-2830,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,33.361,126.53,,-2830/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9954,Redoubt,Confirmed Eruption,VEI Unknown,-2830,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,60.485,-152.742,,-2830/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9955,Ichinsky,Confirmed Eruption,VEI Unknown,-2850,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,55.678,157.718,,-2850/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9956,Crater Lake,Confirmed Eruption,VEI Unknown,-2850,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,42.93,-122.12,,-2850/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9957,Kilauea,Confirmed Eruption,0.0,-2850,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.421,-155.287,,-2850/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9958,Hakkodasan,Confirmed Eruption,2.0,-2850,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,40.659,140.877,,-2850/1/1,End Year Unknown/End Month Unknown/End Day Unknown
